Tabelle,Feldname,Felddatentyp,Laenge_Zeichen,PK,FK,Referenz,AI,NN,Beschreibung
Tier,Tier_ID,INTEGER,,True,False,,True,True,
Tier,Gehege_ID,INTEGER,,False,True,Gehege,False,True,
Tier,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tier,Tier_ID_(Mutter),INTEGER,,False,True,Tier,False,True,
Tier,Tier_ID_(Vater),INTEGER,,False,True,Tier,False,True,
Tier,Tiername,TEXT,50,False,False,,False,False,
Tier,Geschlecht,TEXT,50,False,False,,False,False,
Tier,Größe,TEXT,50,False,False,,False,False,
Tier,Gewicht,TEXT,50,False,False,,False,False,
Tier,Geburtsdatum,TEXT,50,False,False,,False,False,
Tier,Sterbedatum,TEXT,50,False,False,,False,False,
Tier,Herkunft,TEXT,50,False,False,,False,False,
Tier,im Zoo seit,TEXT,50,False,False,,False,False,
Tier,im Zoo geboren,TEXT,50,False,False,,False,False,
Tier,Bemerkungen,TEXT,50,False,False,,False,False,
Tier,,TEXT,50,False,False,,False,False,
Tier,,TEXT,50,False,False,,False,False,
Gehege,Gehege_ID,INTEGER,,True,False,,True,True,
Gehege,Name des Geheges,TEXT,50,False,False,,False,False,
Gehege,Gehege_Kategorie_ID,INTEGER,,False,True,Gehege_Kategorie,False,True,
Gehege,Größe in m2,TEXT,50,False,False,,False,False,
Gehege,Größe in m3,TEXT,50,False,False,,False,False,
Gehege,Baujahr,TEXT,50,False,False,,False,False,
Gehege,Feld für weitere Bemerkungen,TEXT,50,False,False,,False,False,
Gebäude,Gebäude_ID,INTEGER,,True,False,,True,True,
Gebäude,Gebäudename,TEXT,50,False,False,,False,False,
Gebäude,Himmelsrichtung,TEXT,50,False,False,,False,False,
Gebäude,Row 3,TEXT,50,False,False,,False,False,
Tierpfleger,Tierpfleger_ID,INTEGER,,True,False,,True,True,
Tierpfleger,Mitarbeiternummer,INTEGER,,False,True,Mitarbeiter,False,True,
Tier_Betreuung,Tier_Betreuung_ID,INTEGER,,True,False,,True,True,
Tier_Betreuung,Tierpfleger_ID,INTEGER,,False,True,Tierpfleger,False,True,
Tier_Betreuung,Tier_ID,INTEGER,,False,True,Tier,False,True,
Tier_Betreuung,Beschreibung_Aufgaben,TEXT,50,False,False,,False,False,
Tierpfleger_Spezializierung,Tierpfleger_Spez_ID,INTEGER,,True,False,,True,True,
Tierpfleger_Spezializierung,Tierpfleger_ID,INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Spezializierung,Tier_Art_ID,INTEGER,,False,True,Tier_Art,False,True,
Tierpfleger_Spezializierung,Notiz,TEXT,50,False,False,,False,False,
Tier_Art,Tier_Art_ID,INTEGER,,True,False,,True,True,
Tier_Art,Tier_Gattung_ID,INTEGER,,False,True,Tier_Gattung,False,True,
Tier_Art,Beschreibung,TEXT,50,False,False,,False,False,
Tierpfleger_Vertretung,Tierpfleger_Vertret_ID,INTEGER,,True,False,,True,True,
Tierpfleger_Vertretung,Tierpfleger_ID_(Vertretende),INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Vertretung,Tierpfleger_ID_(Vertreter),INTEGER,,False,True,Tierpfleger,False,True,
Tierpfleger_Vertretung,Grund,TEXT,50,False,False,,False,False,
Tier_Unverträglichkeiten,Tier_Unverträg_ID,INTEGER,,True,False,,True,True,
Tier_Unverträglichkeiten,Tier_ID_(Aggressor),INTEGER,,False,True,Tier,False,True,
Tier_Unverträglichkeiten,Tier_ID_(Leidende),INTEGER,,False,True,Tier,False,True,
